,Timestep,FCC,BCC,HCP,ICO,OTHER,Frame,SourceFrame,alloy,Comp,Thold,Job,Run Crystallized
0,134000,107,21,293,10,19221,67,67,Zr-Al,1.00,2000,job9,False
1,134000,91,24,312,2,19223,67,67,Zr-Al,1.00,2000,job8,False
2,134000,88,29,254,6,19275,67,67,Zr-Al,1.00,2000,job7,False
3,134000,88,28,244,5,19287,67,67,Zr-Al,1.00,2000,job10,False
4,134000,87,38,335,4,19188,67,67,Zr-Al,1.00,2000,job2,False
5,134000,122,28,304,8,19190,67,67,Zr-Al,1.00,2000,job3,False
6,134000,142,37,304,3,19166,67,67,Zr-Al,1.00,2000,job4,False
7,134000,69,30,246,5,19302,67,67,Zr-Al,1.00,2000,job5,False
8,134000,100,25,291,8,19228,67,67,Zr-Al,1.00,2000,job6,False
9,134000,76,20,236,8,19312,67,67,Zr-Al,1.00,2000,job1,False
10,275000,149,38,454,3,19008,55,55,Zr-Al,1.00,5000,job8,False
11,275000,191,62,490,7,18902,55,55,Zr-Al,1.00,5000,job9,False
12,275000,224,47,589,7,18785,55,55,Zr-Al,1.00,5000,job7,False
13,275000,243,58,489,8,18854,55,55,Zr-Al,1.00,5000,job10,False
14,275000,267,38,580,2,18765,55,55,Zr-Al,1.00,5000,job3,False
15,275000,209,52,482,1,18908,55,55,Zr-Al,1.00,5000,job4,False
16,275000,297,66,613,6,18670,55,55,Zr-Al,1.00,5000,job5,False
17,275000,300,64,705,5,18578,55,55,Zr-Al,1.00,5000,job6,False
18,275000,257,75,532,6,18782,55,55,Zr-Al,1.00,5000,job1,False
19,275000,335,62,648,5,18602,55,55,Zr-Al,1.00,5000,job2,False
20,346684,621,60,1012,4,17955,52,52,Zr-Al,1.00,6667,job8,False
21,346684,322,59,630,2,18639,52,52,Zr-Al,1.00,6667,job9,False
22,346684,163,45,523,4,18917,52,52,Zr-Al,1.00,6667,job7,False
23,346684,410,85,748,5,18404,52,52,Zr-Al,1.00,6667,job10,False
24,346684,296,57,654,6,18639,52,52,Zr-Al,1.00,6667,job2,False
25,346684,336,86,771,6,18453,52,52,Zr-Al,1.00,6667,job3,False
26,346684,443,59,948,4,18198,52,52,Zr-Al,1.00,6667,job4,False
27,346684,329,76,687,3,18557,52,52,Zr-Al,1.00,6667,job5,False
28,346684,355,67,707,0,18523,52,52,Zr-Al,1.00,6667,job6,False
29,346684,468,82,910,2,18190,52,52,Zr-Al,1.00,6667,job1,False
30,510000,694,101,1118,2,17737,51,51,Zr-Al,1.00,10000,job1,False
31,510000,637,128,1114,1,17772,51,51,Zr-Al,1.00,10000,job2,False
32,510000,704,93,1130,4,17721,51,51,Zr-Al,1.00,10000,job3,False
33,510000,617,106,1002,3,17924,51,51,Zr-Al,1.00,10000,job6,False
34,510000,876,133,1469,6,17168,51,51,Zr-Al,1.00,10000,job8,True
35,510000,634,94,1026,2,17896,51,51,Zr-Al,1.00,10000,job7,False
36,510000,1160,146,1484,5,16857,51,51,Zr-Al,1.00,10000,job5,True
37,510000,454,83,874,9,18232,51,51,Zr-Al,1.00,10000,job9,False
38,510000,745,134,1168,2,17603,51,51,Zr-Al,1.00,10000,job4,True
39,510000,663,108,1094,9,17778,51,51,Zr-Al,1.00,10000,job10,False
40,980000,2327,152,3076,0,14097,49,49,Zr-Al,1.00,20000,job1,True
41,980000,2295,217,2603,2,14535,49,49,Zr-Al,1.00,20000,job2,True
42,980000,2805,161,3227,2,13457,49,49,Zr-Al,1.00,20000,job3,True
43,980000,2652,216,3069,2,13713,49,49,Zr-Al,1.00,20000,job6,True
44,980000,2694,163,3405,1,13389,49,49,Zr-Al,1.00,20000,job8,True
45,980000,2224,203,2674,0,14551,49,49,Zr-Al,1.00,20000,job7,True
46,980000,1708,149,1989,2,15804,49,49,Zr-Al,1.00,20000,job5,True
47,980000,2561,214,2735,3,14139,49,49,Zr-Al,1.00,20000,job9,True
48,980000,1706,187,2297,2,15460,49,49,Zr-Al,1.00,20000,job4,True
49,980000,2564,234,3394,0,13460,49,49,Zr-Al,1.00,20000,job10,True
50,87000,50,28,188,5,19381,87,87,Zr-Al,1.00,1000,job1,False
51,87000,67,18,204,2,19361,87,87,Zr-Al,1.00,1000,job2,False
52,87000,30,17,138,8,19459,87,87,Zr-Al,1.00,1000,job3,False
53,87000,49,10,194,8,19391,87,87,Zr-Al,1.00,1000,job6,False
